Name,Sire,Grandsire,Dam,Damsire,Sex,Foaled,Died,Country,Colour,Breeder,Owner,Trainer,Record,Earnings,Label,Racing colours,Jockey,Color
Kincsem,Cambuscan (GB),Newminster,Water Nymph,Cotswold (GB),Filly,"(1874-03-17)March 17, 1874","(1887-03-16)March 16, 1887[1][2]",Hungary (As Austria-Hungary),Liver chestnut,Ernő Blaskovich,Ernő Blaskovich,Robert Hesp,54: 54–0–0,"ƒ199,754.50 = €2.56 millions in 2020[3]",,,,
Black_Caviar,Bel Esprit (AUS),Royal Academy (USA),Helsinge (AUS),Desert Sun (GB)[1],Mare (female),"(2006-08-18)18 August 2006Nagambie, Victoria, Australia","17 August 2024(2024-08-17) (aged 17)Scone, New South Wales, Australia",Australia,Dark bay,"R. Jamieson, Vic[1]","G.J. Wilkie, K.J. Wilkie, Werrett Bloodstock Pty Ltd, C.H. Madden, J. Madden, P.A. Hawkes, D.M. Taylor, J. Taylor",Peter Moody,25: 25–0–0,"$7,953,936[2]",,"Salmon, Black Spots, Salmon And Black Spots Cap",,
Peppers_Pride,Desert God,Fappiano,Lady Pepper,Chili Pepper Pie,Mare,"March 24, 2003","September 19, 2019(2019-09-19) (aged 16)Taylor Made FarmNicholasville, Kentucky",United States,Dark Bay or Brown,Joe Allen,Joe Allen,Joel Marr,19: 19-0-0,"$1,066,085",,,,
Eclipse,Marske,Squirt,Spilletta,Regulus,Stallion,1 April 1764,,Great Britain,Chestnut,Duke of Cumberland,William WildmanDennis O'KellyLewis Burwell,Sullivan,"18 starts, 18 wins (plus 7 heats)[1]","2,149 guineas",,,,
Ormonde,Bend Or,Doncaster,Lily Agnes,Macaroni,Stallion,18 March 1883[1],21 May 1904(1904-05-21) (aged 21)[2],Great Britain,Bay,"Hugh Grosvenor, 1st Duke of Westminster","Hugh Grosvenor, 1st Duke of Westminster",John Porter,16: 16–0–0,"£28,465[3]",,,Fred ArcherGeorge BarrettTom Cannon,
Prestige,Le Pompon,Fripon,Orgueilleuse,Reverend,Stallion,1903,,France,Bay,Jules Ravaut,William K. Vanderbilt,William_B._Duke,16: 16-0-0[1],,,,,
Ribot,Tenerani,Bellini,Romanella,El Greco,Stallion,27 February 1952,,Great Britain,Bay,Federico Tesio,"Lydia Tesio & Mario della Rocchetta(colours: white, red crossbelts, red cap)",Ugo Penco,16: 16–0–0,"$294,414",,,,
Colin,Commando,Domino,Pastorella,Springfield,Stallion,1905,,United States,,Castleton Stud,James R. Keene,James G. Rowe Sr.,15:15–0–0,"$180,912[1]",,,,Brown
Macón,Sandal,William the Third,Bourgogne,Your Majesty,Stallion,1922,,Argentina,Bay,Haras Ojo de Agua,Caballeriza Don Alfonso,Naciano Moreno,15: 15–0–0,"m$n446,635",,,,
Frankel,Galileo,Sadler's Wells,Kind,Danehill,Stallion,11 February 2008,,Great Britain,Bay,Juddmonte Farms,Khalid Abdullah,Henry Cecil,14: 14–0–0,"£2,998,302",,,Tom Queally,
Dornoch,Good Magic,Curlin,Puca,Big Brown,Colt," (2021-04-22) April 22, 2021 (age 3)Kentucky, U.S.[1]",,United States,,Grandview Equine,"West Paces Racing, R. A. Hill Stable, Belmar Racing and Breeding, Two Eight Racing & Pine Racing Stables",Danny Gargan,10: 5 – 2 – 0,"$2,427,275[2]",,,,bay
Sierra_Leone,Gun Runner,Candy Ride (ARG),Heavenly Love,Malibu Moon,colt,"March 31, 2021[1]",,United States,,Debby M. Oxley,"1. Derrick Smith, Mrs. John Magnier, Michael Tabor, Westerburg, Rocket Ship Racing & Peter Brant (2023)2. Derrick Smith, Mrs. John Magnier, Michael Tabor, Westerburg, Brook T. Smith & Peter Brant (2024–)",Chad C. Brown,9: 4 - 3 - 2,"$6,008,000[2]",,,,Dark bay or brown
Mystik_Dan,Goldencents,Into Mischief,Ma'am,Colonel John,Colt," (2021-03-04) March 4, 2021 (age 3)Kentucky, U.S.[1]",,United States,,Homebred,"Lance Gasaway, Daniel Hamby, 4G Racing, and Valley View Farm, LLC",Kenneth McPeek,9: 3 – 2 – 1,"$4,161,360[2]",,,,Bay
Forever_Young,Real Steel[1],Deep Impact[1],Forever Darling[1],Congrats[1],Colt[1],"February 24, 2021[2]",,Japan[1],Bay[1],Northern Farm[1],Susumu Fujita[1],Yoshito Yahagi[1],8: 6–0–2,"523,262,000 JPY[3][note 1]JPN: 154,200,000 JPY[1]（JRA）: 7,200,000 JPY（NAR）: 147,000,000 JPYKSA: 900,000 USDUAE: 580,000 USDUS: 1,130,000 USD",,,,
Fierceness,City of Light,Quality Road,Nonna Belle,Stay Thirsty,colt,"March 28, 2021[1]",,United States,,Repole Stables,Repole Stables,Todd A. Pletcher,9: 5 - 1 - 1,"US$3,856,350[2]",,,,Bay
Stronghold,Ghostzapper,Awesome Again,Spectator,Jimmy Creed,colt,"January 24, 2021[1]",,United States,Bay,Eric & Sharon Waller,Eric & Sharon Waller,Philip D'Amato,8: 3 – 4 – 0,"$886,000[2]",,,,
